568146;885097
6102449;885098;729570;6065008;6065024;6400486;6102461;6634124;6634160;4389006;4389004
1532142;6327290;5613439;6400486;4389001;6634192;6400488
6102449;6634115;6400559;6400486;528686;4389006
6327252;5332596;1532138;745302;5332593
6327288;6634087;6327272;964541_07
6327245;4376141;6634168;5613456;6634108;1532136;5290702;6064996;5613428;6634156
6327288;4677350;4376136;6634174;6634194;6634165;6634195
6400554;5613433;4376154;6065002;6102440;5290710;801851;4015424;4389013
4015417;1532134;175795;4035754;5290695;528685
6634198;6102439;5333893;5290692;4376140;5290706;4376152
6102461;6065008;5290695;5613456;6102439;4015433;6327258;6634134;6634160;6327255;5613449;6875938;4376140;6634197;6634167;4376154;6634179;5613451;6875992
6400491;5613457;885098;4376168;5290745;5613449;6400553;5613424;5290751
6400557;6064996;6400486;6634160;6634134;6102456;6327271;6634169;1382902;6102448;5652443;1382892
4376166;6634151;5613435
1173157;146402;6634107;1183790
6102458;6634127;6634174;6634137;6102455;6634187
885091;5290698;636718;4389008;559227;6327272;4376152;6400494;6634101;1382905;175815;6634100;4035762;6064996
6634092;1382887;963273;6065008;4658136;1532149;6634107;6327262;4376143;4658146;4376139
4035765;4389003;1532136;5613466;4376144;4376134;6634090
6065008;6400485;5613451;6064996;5613449
1532781;6634168;5333023;6064985;4658124;4677361;4677365;5652879;6327297;4677358;4658127;4389006;6102435;6634156
1382893;5332586;1532142;6064985;6102448;1249015;6065027;6102453;6634169;5290704;5652443
4015420;1532142;6634178;6064993;4035766;5613439;6102437;4389006
5333245;4035757;4677358;6634130;6102438;5333878;4035747;4389011;4389006;6102447
6400486;4388999;6102449;4376144;5290697;6876043;4677350;4015496;6634167;6634169;1173145;5290719;1382891;6102453;6327292;1249014;6064985
4035762;6634152;5290711;6065010;1532133;6327272;6634137;885097;6634100
6327275;5653587;5333020;6400486;1532788;6327295;4035754;4677352
6634192;6064996;885739;6064951;4376166
6634155;4658159;745301;4658154;5613442;4015436;4376150;6634151;1382898;5652460;5290758;5290706;6065019;6327254;5613435;6634167;6064975;4658123;6634120
6634138;6634107;5613440;5290748;1532856;5613488;4015425;398859;809866;4376186
885740;5652398;5332628;6327290;6400486;6634104;6327291;6102448;6102453;6400492;5652443
4015425;5290704;1532126;5613440;146402;6064995;4015417;5290706;809866;4035752;1382886;6102449;6634163;4015444;4376154
5652926;4658133;6400485;6634115;4376131;6400486;6327290;5290726;6634160;528686;5333248;6327294;4389006;5333919;4389004
5652931;5290722;4389008;6327273;559227;6327274;5613451;6327272;6065008;6400494;1532150;4658136
5290717;4389009;6327274;528685;6400494;5613429;5290708
5652931;6327271;4658136;6065008;6327273;6876032;6634134;6634164;6634160
6065008;6634160;6634134;6875938;1532152;6327271;4035748;5613451;6634164;6875992;5613449;5333919
6102456;6327271;6400557;6065010;6065008;6327270;6634152;6400485;5652922;5613451;6634134;6634160
6634096;6327272;6065010;885097;5332595;5652890;5290698;4035762;6634100
5333443;4677365;4389006;963287;4376132;4035752;4376131
5613487;6327232;4658193;5290719;5613486
6400556;1382887;4677356;1532151;6102458;6065001;6634174;6634194;5332584;6634127;6102454;6102455;5290694;6327262
4376134;6065005;5613437;6327279;5290717;6634091;963283;6327248;4677361
963273;6065021;6065020;5290710;6327262;6634174;6634127;6102455;1532150
6400557;6400556;6634174;5290695;4677356;6327271;6634110;6634127;6102455;6102460;5290706
885098;6064950;6327294;4376134;5613487;6634184;5613486;6102460;6102457
6634169;6634096;6400491;4389006;6634100
