Abowd, G. <- Abowd, G.D.
ter Haar Romenij, B. <- ter Haar Romeny, B.
Thomas, J. <- Thomas, J.J.
Treinish, L.A. <- Treinish, L.
Uselton, S. <- Uselton, S.P.
van de Wetering, H. <- Van De Wtering, H.
van Wijk, J.J. <- van Wijk, J. J.
Wang, S. <- Wang, S.W.
Ward, M.O. <- Ward, M.
Weber, G.H. <- Weber, G.
Whitaker, R.T. <- Whitaker, R.
Williams, D. <- Williams, D.W.
Wylie, B. <- Wylie, B.N.
Youn-ah Kang <- Youn ah Kang
